adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/qA2TyqPldTtoTVY3LKrNIG5g6bH.jpg,"[18, 10749]",76,en,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",6.2968,/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,1995-01-27,Before Sunrise,False,7.966,4382
False,/jzt9HuhIAdH9qp0K2MA1m5V8sgq.jpg,"[12, 878]",329,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",11.2759,/63viWuPfYQjRYLSZSZNq7dglJP5.jpg,1993-06-11,Jurassic Park,False,7.96,17045
False,/1GZVHgJUcVyytQRJ533GpMavAcL.jpg,[18],7984,en,In the Name of the Father,"A small-time Belfast thief, Gerry Conlon, is wrongly convicted of an IRA bombing in London, along with his father and friends, and spends 15 years in prison fighting to prove his innocence.",2.0525,/3NcIkKxaO2SmRVsG1v50XhtmL0f.jpg,1993-12-12,In the Name of the Father,False,7.9,1840
False,/vuglA60RqvpHK9rIcG8sXaiWw1L.jpg,"[18, 35, 10749]",11104,cn,重慶森林,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",5.5867,/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg,1994-07-14,Chungking Express,False,8.0,1989
False,/bBiZN1epQTu3F8iFLBuMhc4TRzr.jpg,[18],10997,zh,霸王别姬,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,3.3573,/ySf9I93w6kJiaEb2T4zpoQjY8PR.jpg,1993-01-01,Farewell My Concubine,False,7.95,621
False,/9UCHfC9tYojD4mMVBm0boyzYEQq.jpg,[18],10404,zh,大红灯笼高高挂,"In 1920s China, 19-year-old Songlian becomes a concubine of a powerful lord and is forced to compete with his three wives for the privileges gained.",2.8791,/j6MGZpg55cTqlHHwahBtzI2qQg1.jpg,1991-12-18,Raise the Red Lantern,False,7.927,751
False,/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg,[18],207,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",11.8698,/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg,1989-06-02,Dead Poets Society,False,8.301,11845
False,/yjGllQUm28R4X9xD9T5xMszirgw.jpg,"[80, 18]",235,en,Stand by Me,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",4.7989,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,1986-08-08,Stand by Me,False,7.852,6149
False,/wjt1dwtabVm9vujAteDTnXnpHfZ.jpg,"[18, 10752, 28]",792,en,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",9.287,/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,1986-12-19,Platoon,False,7.748,4797
False,/fWrq3u16gaBJ6nYNWcR3XaOhQPq.jpg,[18],655,en,"Paris, Texas","A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",4.3547,/sP27Qm4THyRZyHjHYMfIDtJP6YE.jpg,1984-07-16,"Paris, Texas",False,8.102,2028
False,/nrm4FH3Dl9D62B1Lj7dsQgkwXRa.jpg,"[10402, 18]",12104,en,Pink Floyd: The Wall,A troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,2.4347,/aElHyIdF5jmctFGhlhhaPFsbBJC.jpg,1982-07-14,Pink Floyd: The Wall,False,7.95,1553
False,/ulVUa2MvnJAjAeRt7h23FFJVRKH.jpg,"[12, 16, 14]",81,ja,風の谷のナウシカ,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",5.3951,/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,1984-03-11,Nausicaä of the Valley of the Wind,False,7.95,3801
False,/jaO8WurWoUBE55nskqtFqPZFFaO.jpg,"[27, 9648, 878]",1091,en,The Thing,"A twelve-man team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror...And becomes one of them.",7.3611,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,1982-06-25,The Thing,False,8.07,7407
False,/46iMqI1qzAtnXJxGRNCFwYNYqOo.jpg,"[18, 12]",9343,de,Fitzcarraldo,"Fitzcarraldo is a dreamer who plans to build an opera house in Iquitos, in the Peruvian Amazon, so, in order to finance his project, he embarks on an epic adventure to collect rubber, a very profitable product, in a remote and unexplored region of the rainforest.",3.2692,/oBCnYEKcg1rMhr5JjDnrRpilvDd.jpg,1982-03-02,Fitzcarraldo,False,7.625,814
